run,seed,variant,incidentsTotal,incidentsResolved,incidentsQueued,unitsTotal,decisions,assignCommands,rerouteCommands,cancelCommands,computeAvgMicros,computeP95Micros,computeMaxMicros,etaAvgSeconds,etaP95Seconds,waitAvgSeconds,waitP95Seconds,predictorWeights
1,1,no_preposition,50,50,0,10,41,41,11,0,433.89940828402365,940,15835,22.4390243902439,42,292.609756097561,972,expSmoothing=0.9969436269431763|slidingWindow=0.0030563730568236662|preposition=no-op
1,1,sliding_preposition,50,50,0,10,41,41,9,0,161.01775147928993,501,726,16.585365853658537,37,292.609756097561,972,
1,1,adaptive_preposition,50,50,0,10,41,41,9,0,101.94674556213018,308,921,16.585365853658537,37,292.609756097561,972,expSmoothing=0.9969436269431763|slidingWindow=0.0030563730568236662
2,2,no_preposition,50,50,0,10,44,44,15,0,115.76331360946746,266,4667,23.477272727272727,43,332.72727272727275,928,expSmoothing=0.9984837145915777|slidingWindow=0.0015162854084223316|preposition=no-op
2,2,sliding_preposition,50,50,0,10,44,44,15,0,88.42011834319527,238,725,23.477272727272727,43,332.72727272727275,928,
2,2,adaptive_preposition,50,50,0,10,44,44,15,0,66.1775147928994,194,361,23.477272727272727,43,332.72727272727275,928,expSmoothing=0.9984837145915777|slidingWindow=0.0015162854084223316
3,3,no_preposition,50,50,0,10,46,46,21,0,60.70414201183432,151,633,23.108695652173914,48,329.1521739130435,907,expSmoothing=0.9999176507437555|slidingWindow=8.234925624453757E-5|preposition=no-op
3,3,sliding_preposition,50,50,0,10,46,46,20,0,72.43786982248521,169,202,23.456521739130434,48,329.1521739130435,907,
3,3,adaptive_preposition,50,50,0,10,46,46,20,0,79.92307692307692,167,372,23.456521739130434,48,329.1521739130435,907,expSmoothing=0.9999176507437555|slidingWindow=8.234925624453757E-5
4,4,no_preposition,50,50,0,10,42,42,15,0,59.81065088757396,150,291,27.0,58,467.5238095238095,1137,expSmoothing=0.9990383673842457|slidingWindow=9.616326157542946E-4|preposition=no-op
4,4,sliding_preposition,50,50,0,10,42,42,11,0,61.798816568047336,122,212,23.952380952380953,58,467.5238095238095,1137,
4,4,adaptive_preposition,50,50,0,10,42,42,11,0,77.63905325443787,162,282,23.952380952380953,58,467.5238095238095,1137,expSmoothing=0.9990383673842457|slidingWindow=9.616326157542946E-4
5,5,no_preposition,50,50,0,10,45,45,21,0,63.83431952662722,140,237,21.77777777777778,47,230.64444444444445,1007,expSmoothing=0.7922949264483513|slidingWindow=0.20770507355164863|preposition=no-op
5,5,sliding_preposition,50,50,0,10,45,45,21,0,43.905325443786985,95,417,21.77777777777778,47,230.64444444444445,1007,
5,5,adaptive_preposition,50,50,0,10,45,45,21,0,44.33136094674556,109,224,21.77777777777778,47,230.64444444444445,1007,expSmoothing=0.7922949264483513|slidingWindow=0.20770507355164863
6,6,no_preposition,50,50,0,10,43,43,14,0,61.0,110,3310,26.953488372093023,47,248.69767441860466,671,expSmoothing=0.9836217047813729|slidingWindow=0.016378295218627045|preposition=no-op
6,6,sliding_preposition,50,50,0,10,43,43,14,0,34.946745562130175,89,139,22.3953488372093,42,248.69767441860466,671,
6,6,adaptive_preposition,50,50,0,10,43,43,14,0,35.81065088757396,90,170,22.3953488372093,42,248.69767441860466,671,expSmoothing=0.9836217047813729|slidingWindow=0.016378295218627045
7,7,no_preposition,50,50,0,10,46,46,23,0,34.43195266272189,70,121,19.869565217391305,47,326.0217391304348,968,expSmoothing=0.9990724737941675|slidingWindow=9.275262058325033E-4|preposition=no-op
7,7,sliding_preposition,50,50,0,10,46,46,19,0,35.071005917159766,77,111,19.82608695652174,43,326.0217391304348,968,
7,7,adaptive_preposition,50,50,0,10,46,46,19,0,36.337278106508876,77,119,19.82608695652174,43,326.0217391304348,968,expSmoothing=0.9990724737941675|slidingWindow=9.275262058325033E-4
8,8,no_preposition,50,50,0,10,42,42,20,0,34.07692307692308,76,132,26.428571428571427,47,376.0,1156,expSmoothing=0.9990216085472705|slidingWindow=9.783914527295066E-4|preposition=no-op
8,8,sliding_preposition,50,50,0,10,42,42,17,0,45.55029585798817,111,214,22.976190476190474,41,376.0,1156,
8,8,adaptive_preposition,50,50,0,10,42,42,14,0,39.603550295857985,83,169,21.547619047619047,41,376.0,1156,expSmoothing=0.9990216085472705|slidingWindow=9.783914527295066E-4
9,9,no_preposition,50,50,0,10,41,41,10,0,35.36094674556213,82,104,18.926829268292682,32,229.46341463414635,900,expSmoothing=0.9944627203349943|slidingWindow=0.005537279665005709|preposition=no-op
9,9,sliding_preposition,50,50,0,10,41,41,11,0,45.437869822485204,107,318,19.195121951219512,41,229.46341463414635,900,
9,9,adaptive_preposition,50,50,0,10,41,41,11,0,37.56804733727811,78,151,19.195121951219512,41,229.46341463414635,900,expSmoothing=0.9944627203349943|slidingWindow=0.005537279665005709
10,10,no_preposition,50,50,0,10,44,44,26,0,34.95266272189349,79,163,24.431818181818183,46,244.3181818181818,852,expSmoothing=0.9996537526966787|slidingWindow=3.4624730332139046E-4|preposition=no-op
10,10,sliding_preposition,50,50,0,10,44,44,26,0,38.0,87,168,24.431818181818183,46,244.3181818181818,852,
10,10,adaptive_preposition,50,50,0,10,44,44,26,0,39.023668639053255,82,142,24.431818181818183,46,244.3181818181818,852,expSmoothing=0.9996537526966787|slidingWindow=3.4624730332139046E-4
